# ==== Vocabulary ====
the 30550
beam 11
plant 24
obey 81
tra va ils 2
presently 155
obedient 30
claims 9
st aggers 4
careless 21
lap se 2
loo sing 1
justice 257
dole 11
en noble d 1
counter poise 5
smile 87
contract 27
expedient 8
now born 1
performd 23
tonight 191
expect ing 7
rec ant ation 2
understood 14
counts 15
satisfy 29
ordin aries 1
tol er able 2
vent 20
scarf s 4
ban n ere ts 1
manifold ly 1
believing 6
vessel 38
scarce 79
plun ge 5
if lord 1
hen 7
window 43
lat ti ce 3
casement 9
e gre gious 4
indign ity 6
dram 16
bate 16
scruple 23
evn 8
smack 9
scarf 10
beaten 48
bondage 23
de fault 4
in supp or table 3
vexation 11
hell pains 1
scurvy 28
filthy 19
fet tering 1
beat 133
conven ience 5
of ill 1
masters 177
un feigned ly 4
lordship 120
garter 38
arms 291
hose 22
sleeves 8
lower 30
nose 67
me thinkst 1
wast 104
un deserved 4
pick ing 6
ker nel 3
po me gr an ate 2
vag ab ond 4
traveller 16
person ages 2
commission 51
herald ry 6
conce ald 3
awhile 95
forfeit ed 5
cares 48
sweetheart 14
priest 75
do gh o le 1
tread 46
box 22
hu gs 1
kick y wick y 1
manly 27
mar row 6
sustain 16
cur vet 1
mars s 6
steed 22
regions 9
stable 7
jades 15
italian 16
fields 38
strike 169
detested 16
cap rich io 1
chamber 128
balls 11
noise 116
marrd 9
greets 13
kindly 39
wants 44
a il 2
whither 95
fortunate 20
money 188
shakes 20
un doing 5
witty 16
profitable 3
laughter 29
serious 25
prerogative 8
compelld 13
restraint 14
delay 38
strew d 7
dis til 4
cur bed 1
oer flow 3
brim 7
proceeding 29
strengthen d 2
apo lo gy 5
probable 10
commands 32
obtain d 7
warrant ed 4
testimony 13
b unt ing 1
accordingly 10
sin ned 2
trans gr essed 3
dangerous 106
pursue 37
amity 23
tailor 53
workman 6
cas ke ted 1
order 96
bride 41
dinner 85
three third s 1
nothing s 5
between 272
deserved 38
displeasure 42
shift 28
boots 27
spurs 17
le apt 3
cu st ard 1
residence 9
mistaken 9
ker nal 1
nut 6
clothes 42
consequence 19
spoken 55
clo g 6
pro cur d 2
desires 82
min istr ation 1
required 8
prepared 35
un settled 6
entreat 117
appoint ments 2
letter 262
twill 68
observance 19
e ke 7
fa ild 5
hie 52
timorous 9
fain 70
law 217
vouch 12
strangers 23
sunder 9
drum 109
flight 56
cor ag io 2
attended 42
f und ament al 2
dec ision 4
thirst s 1
quarrel 98
op po ser 2
borrow ing 4
council 46
fra mes 3
self unable 1
incertain 6
grounds 12
fail 71
guess d 1
ease 62
set tle 5
places 43
a va ils 3
happ end 3
along 117
troth 105
ruff 4
pick 19
man or 2
opening 12
lings 1
ling 1
cupids 23
knockd 8
een 54
reads 87
sent 274
recovered 15
wedded 18
bed ded 3
breadth 9
unfortunate 11
rash 37
un brid led 2
favours 47
indignation 11
mis priz ing 1
yonder 72
killd 72
standing 39
getting 11
gentleman 588
quir ks 4
met 143
thither ward 1
des patch 4
bend 50
pas sport 3
begotten 4
dreadful 67
prythee 13
eng ross est 1
rob b st 1
wash 55
swift est 6
consent ing 4
hourly 25
tainted 19
corrup ts 1
well derived 1
induce ment 3
deal 60
loses 11
worthiest 16
courtesies 10
ex pose 5
event 28
n ones par ing 1
drive 36
smo ky 6
mus kets 1
leaden 18
violent 42
still peering 1
piercing 13
sho ots 6
charges 16
caitiff 13
effected 9
ra vin 3
ro ard 5
constra int 7
hunger 17
miseries 24
wins 12
scar 12
dot 77
paradise 12
fan 17
angels 37
offic d 3
rumour 20
con so late 1
trumpets 93
prom ising 6
the xt reme 2
prosperous 25
helm 20
auspicious 7
file 17
hat er 1
sending 12
jaques 85
ambitious 38
bare foot 7
plo d 4
s ainted 4
am ended 5
fer v our 4
despite ful 7
juno 22
court ly 7
camp ing 1
dog 147
heels 75
embrace 79
stings 11
mild est 2
let ting 7
diver ted 3
prevented 20
over night 1
oer taen 2
repri eve 6
wrath 60
sharp ly 5
convenient 20
led 76
citizens 96
approach 76
commander 13
slew 39
tucket 9
labour 100
hark 154
suffice 18
earl 159
solicit ed 4
officer 114
suggest ions 3
entice ments 1
tokens 16
eng ines 4
sedu ced 6
misery 48
terrible 28
wreck 12
maiden hood 2
limed 8
twi gs 5
threaten 12
le 54
grand 15
pal mers 6
lodge 26
francis 56
port 18
tarry 44
troops 33
conduct 49
lodgd 9
hostess 134
ample 16
countryman 63
hears 35
nobly 39
what some er 2
surely 42
co ar se ly 1
repe ated 3
reserved 8
exam ind 1
detest ing 1
whereso eer 7
shrewd 28
pleasd 30
maybe 10
amorous 23
so lic its 4
unlawful 11
brokes 2
honest est 1
colours 70
army 103
antonio 272
eldest 29
escalus 97
frenchman 21
plume 7
gallant 55
hon ester 5
good lier 2
handsome 20
yond s 1
rascal 57
jack an apes 4
perchance 51
battle 128
shrewdly 10
vexd 9
spied 11
courtesy 70
ring carrier 1
troop 29
host 153
en joind 5
penit ents 1
mat ron 4
than king 1
requite 26
precepts 9
offer 98
hi lding 7
bubble 8
direct 37
malice 71
kinsman 57
notable 14
promise break er 2
owner 19
lordships 16
entertainment 39
re posing 3
trusty 21
fetch 126
confident ly 2
undertake 47
suddenly 55
surprise 12
hood wink 3
carried 34
leag u er 1
adversaries 11
tents 22
exam ination 5
highest 17
compulsion 10
deliver 105
oath 160
stratagem 10
bottom 103
l ump 6
ore 2
melted 17
drums 45
inclining 8
hinder 15
design 21
sticks 13
sore ly 6
disposition 46
pox 24
rend 14
bla md 2
greatly 12
condemn 17
dishonour 47
at tribut ed 1
exact 8
per former 1
hic 12
j ace t 1
instrument 40
quarter 20
magnanim ous 7
enterprise 35
greatness 79
syllable 12
slumber 21
evening 22
di le m mas 1
en courage 4
preparation 28
midnight 43
thart 9
possibility 5
subscribe 15
fish 51
dam ns 1
dares 53
week 30
escape 22
discover ies 3
address 12
clap 18
embos sed 7
smo kd 2
disguise 22
parted 45
spr at 1
caught 32
ast 3
lass 9
coxcomb 20
res end 1
falln 26
business es 4
reputation 50
stain ing 1
borrow 31
showd 28
appro ves 5
purse 82
friendly 38
over pay 1
important 9
naught 59
county 24
down ward 6
succeed ed 1
desc ents 1
repent ed 3
appoint s 1
crowns 67
passd 12
yielded 27
instruct 28
persever 8
deceit 22
co her ent 1
music s 6
sorts 15
ste ads 4
ea ves 2
pers ists 1
assay 13
meaning 62
fact 13
hedge corner 2
s ally 3
some one 6
interpreter 8
lin sey wo ol sey 1
band 30
advers ar ys 3
neighbour ing 6
langu ages 4
ch oughs 5
g ab ble 3
for ges 4
oclock 46
dis graces 6
door 155
fool hardy 2
daring 15
recovery 9
ignorant 50
ones 82
instance 27
butter womans 1
ba ja z ets 1
mu le 4
prattle 8
perils 8
possible 59
cutting 8
breaking 29
span ish 4
bar ing 1
stri pped 2
hardly 41
swore 56
leap d 6
cit ade l 7
thirty 23
fathom 10
enemys 11
recover d 5
alarum 79
thro ca 1
mo vous us 1
car go 7
vill i anda 1
par 2
cor bo 1
seize 36
blind fold 3
bo sk os 3
th rom u ldo 1
mus k os 1
german 11
dane 9
dutch 3
discover 34
undo 32
vau va do 1
k ere ly bon to 1
betake 10
sevent een 6
pon i ards 4
man k a 1
re van ia 1
dul che 1
o sc or bid ul cho s 1
voli v or co 1
hood wink d 3
gather 26
inform 23
secrets 28
purposes 40
faithfully 13
damn 18
ac or do 1
lin ta 1
granted 31
guarded 30
wood cock 7
muffled 10
safely 26
lockd 17
f on ty bell 1
tit led 2
bare ly 4
prick 32
vow d 7
joves 18
at tribut es 3
holding 27
conditions 30
un seald 1
opinion 87
holy cruel 1
integrity 19
craf ts 4
re covers 3
ancestors 21
o blo qu y 4
chastity s 2
proper 64
champion 15
knock 73
conquer d 4
maiden bed 1
future 16
sat 32
bra id 2
think t 3
cozen 5
unjustly 9
de li v red 1
changd 22
shaking 13
incur red 1
everlasting 22
t und 5
per ver ted 1
renown 24
fles hes 1
monument al 3
un chaste 4
rebellion 30
merely 28
treasons 24
reveal 7
attain 9
abhor rd 7
contri ves 2
nobility 37
oer flows 3
damnable 11
trumpet ers 1
company 213
diet ed 5
apace 28
an atom ized 3
curi ously 4
meddle 19
whip 37
meantime 33
over ture 5
altogether 26
pretence 10
under taking 5
au st ere 4
sanct imon y 3
accomplished 7
res iding 4
tenderness 13
became 24
just ified 4
confirmd 9
re ctor 1
confirm ations 2
arm ing 6
verity 11
heartily 38
mightily 16
acqu ird 2
encountered 13
web 13
mingled 17
y ar n 2
whipped 35
crimes 20
cher ishd 3
wheres 118
offered 21
needful 33
tart ness 2
des patch d 1
sixteen 12
ap iece 4
ab stra ct 6
con gi ed 1
nearest 14
mour nd 3
return ing 7
entertained 14
con voy 7
parcels 9
nic er 1
diff icul ty 3
departure 21
hereafter 54
di alogue 7
mod u le 2
deceivd 17
double meaning 1
proph es ier 1
stocks 24
usurping 16
weeps 41
wench 71
milk 26
mor gan 4
sup poses 3
friar 205
confession 17
hood man 1
por tot art ar os sa 1
tort ures 5
pinch 35
past y 2
bo sk o 1
chim ur cho 1
bo bli bin do 1
ch ic ur mur co 1
merciful 20
un service able 1
scattered 13
commanders 9
rogues 22
sacrament 8
past saving 1
mil it ar ist 1
the or ic 3
knot 30
cha pe 1
dagger 41
keeping 23
wearing 22
neat ly 1
said i 1
true or 1
there about s 4
down for 1
con 7
marvellous 20
afoot 27
fifty 29
sebastian 138
cor am bus 1
guil tian 1
co smo 1
lodo wick 5
grat ii 1
ch i topher 1
va um ond 1
bent ii 1
muster file 1
amoun ts 3
fifteen 17
poll 6
cas so cks 1
pieces 41
condition 58
dumaine 79
exper t ness 2
well weigh ing 1
inter g ator ies 2
sing ly 5
bot chers 2
pr entice 5
shrie ves 1
innocent 57
tile 2
flor ences 1
lousy 8
pocket 36
sadness 26
tent 115
excellent ly 6
advertis ement 4
all ure ment 1
rut tish 1
behalf 45
whale 8
dev ours 5
fry 8
rogue 79
sc ores 2
after debts 1
me ll 1
forehead 23
devo ted 7
manifold 7
ling u ist 2
arm i potent 4
cat 36
generals 16
remainder 10
dungeon 9
answerd 26
egg 15
cloister 6
ra pes 3
ravish ments 1
ness us 2
professes 8
hercules 38
vol u bility 2
drunken ness 4
swin ed runk 1
bed clothes 1
straw 20
description 19
traged ians to 1
belie 10
not and 1
mile end 2
dou bling 2
files 10
out villain d 1
villainy 41
rar ity 5
redeem s 3
price 33
quart 6
de cu 2
fees im ple 5
sal vation 6
inheritance 13
ent a il 3
remaind ers 2
perpet ually 4
nest 28
ex cels 7
reputed 10
retreat 29
outrun s 3
lackey 8
cram p 4
drum ming 2
sup position 4
traitor ously 4
discovered 16
pest if erous 2
heads man 3
un mu f fling 1
greeting 22
sonnet 11
compel 9
women 176
received 64
impudent 9
nation 30
burst 30
braggart 13
rust 12
safest 8
fo old 3
foolery 15
wrongd 15
christian 71
surety 21
throne 75
kneel 71
grat itude 4
flinty 12
tart ars 5
duly 8
hi es 7
aid ing 2
daughters 85
hel per 2
trust ing 6
coz end 3
def iles 2
pitch y 5
loa thes 6
instru ctions 7
im pos itions 1
briers 8
wag gon 3
prepard 10
revi ves 4
f ines 6
misled 10
sn i pt taff et a 1
vill an ous 5
sa f fron 4
un b akd 1
d ough y 1
adv ancd 6
red ta ild 1
humble bee 6
part ak en 1
owed 8
rooted 8
sal ads 1
herb 10
sal ad 2
herbs 10
nose herbs 1
ne bu c had ne zz ar 1
grass 25
thy sel fa 1
bauble 8
p his no my 1
hot ter 7
ali as 3
talk st 7
wood land 1
narrow 18
ch ill 6
flow ry 1
lookd 43
tricks 34
unhappy 42
sau c iness 6
ladys 63
moved 53
min or ity 5
self gracious 1
propose 10
conceived 7
fitter 11
ladyship 38
happily 31
post 82
number d 4
rejo ices 3
yond ers 6
patch 13
velvet 18
ons 17
under t 2
pile 9
belike 43
car bon ado d 1
dozen 34
delicate 30
h ats 6
courteous 22
nod 18
exceeding 27
requit al 7
un root 1
fallen 24
go aded 2
occasions 18
nice 32
petition 25
re movd 4
unfit 10
thank d 3
la va che 1
familiar ity 4
mud died 3
mood 24
somewhat 19
speakst 36
henceforth 43
butter ing 1
spake 52
me ta ph or 4
st ink 5
foh 8
closes tool 2
nobleman 25
pur 1
mus k cat 1
fish pond 1
carp 3
ingenious 10
rascally 11
distress 18
sim iles 5
crue lly 5
scratch d 5
pare 4
nails 31
scratch 19
justices 12
penny 22
hat 44
cox 1
sooth 45
inquire 15
guards 22
lackd 8
estimation 21
natural 60
blaze 10
oer bears 2
burns 31
forgiven 6
revenges 16
watchd 7
pardon the 1
aston ish 3
richest 8
scorn d 6
reconci ld 3
repetition 9
deeper 15
inc ens ing 1
offender 11
refer ence 5
sunshine 9
hail 74
bright est 4
distracted 14
high repent ed 1
bla mes 3
quick st 1
thin audi ble 1
noise less 2
stuck 23
in fix ing 1
war pd 2
express d 7
stolen 22
pro port ions 6
praisd 16
excus d 5
com pt 3
remorse ful 4
slow ly 6
send er 4
tri vial 7
dis pleasures 3
destroy 30
shameful 19
sleeps 48
afternoon 28
knell 13
ma ud lin 3
consent s 6
widow ers 1
mar ri aged ay 2
ces se 1
houses 30
digest ed 6
spark le 5
ev ry 3
fast end 4
necess it ied 1
relieve 15
craft 21
re ave 2
stead 17
pleases 19
reck ond 3
thrown 35
wra ppd 4
contain d 3
engagd 9
subscri bd 3
fully 14
ce asd 2
satisfaction 33
pl utus 4
tinct 4
mul ti ply ing 4
sc ience 2
enforce ment 7
saints 14
conject ural 2
inhuman twill 1
deadly 57
close 116
for ep ast 1
proofs 14
vanity 22
feard 25
s ift 3
husband ed 4
dismal 22
thin kings 3
re moves 3
under took 5
vanquishd 8
thereto 19
suppli ant 5
importing 8
ver bal 4
concern 12
protest ations 2
wi dower 5
sedu cer 1
flourish es 4
capi let 3
soninlaw 13
to ll 3
discovery 15
suitors 19
afeard 32
f ou lly 4
snatch d 5
derived 15
ancient 85
em bod ied 1
mar ries 3
laughd 13
sink 39
sayst 66
gamester 8
vali d ity 5
parall el 6
common er 2
pre ce ding 2
ge m 5
conf err d 2
testament 12
rings 22
loath 31
names 60
qu oted 5
perf id ious 4
spots 11
sick ens 2
utter 41
li kd 5
board ed 7
angle 9
eager ness 1
fancys 9
mo ti ves 6
subdud 7
market price 1
turnd 56
justly 31
diet 18
abed 10
bo gg le 1
feather 24
starts 19
equi vo cal 2
naughty 15
orator 14
promised 46
talked 16
satan 8
lim bo 4
f uries 5
motions 13
evidence 11
glove 38
ought 24
tellst 12
custo mer 2
jove 82
accusd 8
strumpet 26
jeweller 12
abusd 20
harm d 3
quit 50
def ild 3
feels 10
kick 3
riddle 10
ex or c ist 2
beguil es 4
truer 17
real 3
doubly 8
clear ly 6
divorce 22
step 31
on ions 2
tom 22
handker cher 3
un cro pped 1
kept st 1
resolved ly 1
epilogue 27
om nes 4
alexandria 45
cleopatras 10
rome 379
apartment 18
caesars 89
messina 13
pompeys 14
lepidus 73
mis en um 4
board 21
gall ey 3
syria 8
antechamber 20
antonys 17
promontory 9
act ium 5
viii 21
ix 13
x 11
x i 5
x ii 5
egypt 47
x iii 5
camps 12
x iv 3
x v 3
trium vir 4
octavius 48
sext us 6
pompe ius 4
dom it ius 3
enobarbus 153
ventidius 23
eros 59
scarus 20
dercetus 10
demetrius 164
philo 4
maecenas 28
agrippa 57
dolabella 39
proculeius 21
thidias 20
gall us 6
menas 52
pompey 202
mene cr ates 5
varrius 9
taurus 10
lieutenant general 2
canidius 18
silius 8
ventidius s 1
e uph r onius 1
ambassador 33
alexas 33
mardian 19
seleucus 11
diomedes 87
soothsayer 44
octavia 44
charmian 106
iras 43
dispersed 13
roman 134
dotage 10
must ers 5
glow ed 1
pl ated 2
devotion 18
tawny 10
captains 32
sc uff les 1
fights 18
buck les 4
rene ges 1
temper 37
bellow s 2
g ip s ys 1
train 78
fan ning 4
pill ar 5
transform d 2
beggary 12
bourn 9
gr ates 2
fulvia 14
scarce beard ed 1
mand ate 4
enfranch ise 4
perform t 2
dis mission 2
ful vias 4
process caesars 1
egypt s 3
blush est 1
ho ma ger 1
shrill tong ued 2
scold s 2
tiber 8
melt 32
arch 9
d ung y 2
nobleness 19
embracing 10
pair 47
punishment 24
we et 1
peerless 8
conference 33
ambassadors 17
fie 166
becomes to 1
wander 24
streets 54
people 208
antonius 10
prized 6
speaks 139
absolute 34
garlands 10
secrecy 15
forese e 6
paint 18
pres ci ence 4
attent ive 6
be loving 1
liver 19
drinking 27
for eno on 2
her od 6
jew ry 7
fig s 5
prithee 208
wenches 27
fertile 15
million 15
witch 94
sheets 20
privy 14
palm 28
pres ages 5
chastity 29
oer flowing 2
n ilus 6
presage th 2
bedfellow 13
soothsay 1
o ily 4
fruitful 16
pro g no st ic ation 2
work ad ay 1
inch 20
alexas come 1
isis 8
laughing 16
fifty fold 1
prayer 39
heart breaking 1
loose wi ved 1
un cuckold ed 1
de cor um 3
whores 10
they d 3
mirth 61
sudden 83
lucius 271
joint ing 1
dra ve 4
infect s 6
tell er 1
la bi en us 1
stiff 12
new sha th 1
parth ian 5
as ia 4
e uph rates 1
conquer ing 7
ban ner 4
ly dia 2
ion ia 1
m ince 5
rail 31
taunt 7
lic ence 4
ear ing 1
sic yon 3
egyptian 15
fet ters 2
im por teth 2
contempt s 3
hurl 10
lower ing 2
opposite 26
sho ved 2
enchanting 8
harms 20
idleness 14
hatch 9
compe lling 1
occasion 74
catching 11
instantly 25
mettle 27
ce ler ity 7
fin est 3
storms 18
al man ac s 1
shower 10
wonderful 24
piece 102
dis cred ited 2
sacrifice 22
pleaseth 18
de ities 5
tailors 8
comfort ing 4
robes 20
members 10
lament ed 6
con sol ation 2
petticoat 8
on ion 2
broached 9
who lly 6
abode 9
notice 35
exped ience 4
ur gent 2
contri ving 3
slippery 8
link ed 3
deser ver 2
dignities 15
cours ers 6
serpents 15
method 9
tempt 31
betrayed 15
planted 9
riotous 10
ent angled 3
mouth made 1
sued 6
staying 11
inches 11
swords 80
e quality 2
domestic 8
scrup ulous 2
faction 22
newly 32
creep s 7
thri ved 2
quiet ness 7
safe 84
childish ness 3
gar bo ils 2
awaked 9
vi als 4
sorrow ful 5
quick ens 2
sli me 5
affects 12
dissembling 14
meet ly 1
tar get 6
m ends 2
her cu lean 1
carriage 21
cha fe 5
royalty 27
sweating 10
be com ings 1
la ure l 3
victory 57
smooth 40
strew ed 4
feet 61
abides 8
compet itor 4
fishes 12
lamps 8
revel 16
man like 1
p to le my 3
woman ly 3
audience 34
vouch sa fed 2
partners 7
darken 6
black ness 4
hereditary 8
purchased 10
choo ses 5
ind ul gent 1
tumble 8
ti pp ling 1
re el 4
buff et 4
sweat 41
com po sure 3
blemish yet 1
foils 9
lightness 8
va can cy 4
vol upt uous ness 2
surfeits 8
dry ness 1
chid 20
mature 7
pawn 26
bid d ings 1
abroad 67
feared 29
ports 13
dis contents 7
wronged 40
pri mal 2
e b bed 1
dear ed 1
fla g 7
lackey ing 1
tide 44
rot 20
pirates 14
ke els 1
in ro ads 1
italy the 1
b orders 1
mar it ime 1
ont and 1
fl ush 3
res isted 5
was sails 2
mod ena 1
slew st 2
h ir ti us 1
pan sa 1
consuls 9
fought st 1
dain ti ly 2
sav ages 3
stale 29
pud dle 3
beasts 37
c ough 5
deign 7
rough est 2
berry 7
ru dest 1
hedge 14
stag 6
pasture 13
bar ks 6
brow sed 1
al ps 4
wounds 94
lan ked 1
thri ves 5
furnished 13
stirs 20
part ak er 3
ha 230
m andra g ora 2
gap 12
eunuch 14
un se min ared 1
fre er 5
thinkst 45
wot st 1
mo vst 3
dem i at las 1
arm 159
bur gon et 4
murmur ing 4
n ile 6
de li cious 4
phbus 10
pin ches 5
wrinkled 15
broad fron ted 1
morsel 9
anchor 7
unlike 17
kissed the 1
doubled 8
sends 41
oyster 7
op ul ent 2
nod ded 2
sober ly 1
mount 35
arm gaunt 1
ne ighed 1
beastly 22
dum bed 1
extremes 18
well divided 1
disposition note 1
mingle best 1
violence 19
else met st 1
posts 12
beggar ink 1
alexas did 1
choked 9
emp has is 2
paragon 10
un people 4
assist 21
just est 1
whiles 75
cres cent 4
au g uring 1
doors 63
gets 13
flatter s 7
silvius 46
charms 24
s often 6
wan ed 2
witchcraft 17
li bert ine 4
fum ing 1
ep ic ure an 2
cook s 3
shar pen 1
clo y less 1
sauce 16
pr or o gue 4
le thed 1
dull ness 3
expected 11
ear menas 1
surfeit er 1
don ned 1
rear 12
stirring 23
lust wearied 1
trespass es 4
war red 2
en mities 1
pregnant 16
ce ment 4
di visions 4
bet 16
havet 11
strongest 9
jupiter 37
wear er 2
s havet 1
stomach ing 1
matters 28
em bers 2
com pose 2
parth ia 7
comb ined 4
lean er 1
murder 121
heal ing 2
earnestly 9
curst ness 1
armies 16
der o gate ly 1
concer ned 1
practise 18
practised 8
intent 54
befall 28
con test ation 1
theme 30
drew 39
dis credit 5
laying 19
patched 6
excuses 9
lack i 1
partner 15
grace ful 7
fron ted 1
sn aff le 1
un cur bable 1
impatience which 1
shrewd ness 1
too i 1
grie ving 6
dis quiet 3
wrote 9
riot ing 1
taunt s 7
gi be 1
miss ive 1
feast ed 5
wipe 27
article 19
talks 14
penitent 14
stoop 34
atone 7
worthily 15
wr angle 7
consider ate 2
dislike 16
differ ing 5
hoop 6
sta unch 2
reproof 20
rashness 10
brothers 158
un sli pping 1
jealousies 11
dangers 23
tales 25
half tales 1
studied 17
rum in ated 2
impediment 15
govern 30
bequeath 17
s 58
mis ena 1
glad ness 3
invite 20
sisters 46
stayed 20
eight 37
boars 9
roasted 5
breakfast 16
twelve 49
eagle 24
not ing 4
pur sed 1
river 25
cy d n us 3
appeared 16
re porter 1
barge 12
burn ished 1
po op 2
sails 20
loves ick 4
o ars 3
fl utes 2
stroke 43
strokes 23
pavilion 16
cloth of gold 1
tis sue 1
oer pict uring 1
out work 1
dim pled 5
divers coloured 1
f ans 3
glow 7
un did 2
gentlewomen 8
n ere ides 1
mer maids 4
adorn ings 1
mer maid 5
ste ers 2
silken 17
tack le 6
swell 20
flowers oft 1
yare ly 2
invisible 31
perfume 13
ad j ac ent 2
wh ar f s 1
en throned 5
marketplace 24
whist ling 3
land ing 2
supper 56
replied 9
entreated 12
bar ber ed 1
ordinary 12
pl ou ghed 4
cro pped 4
hop 8
pa ces 7
pant ed 1
breathless 14
utterly 10
wither 18
custom 45
var iety 3
clo y 4
appet ites 4
satisf ies 1
priests 18
ri gg ish 1
sir my 1
blemish es 3
d mon that 1
thee is 1
courageous 12
un mat cha ble 4
oer power ed 2
game 26
beats 34
odds 44
lustre 13
thick ens 2
dice 10
sports 15
faints 13
lots 4
speed s 5
cocks 5
qua ils 2
in hoop ed 1
com miss ions 4
ready 153
conceive 27
sh orter 6
music music 1
moody 14
trade 42
bill i ards 1
sore 50
showed 41
playing 23
tawny fin ned 1
b ended 7
hook 9
pierce 27
sli my 2
wag ered 1
angling 4
diver 1
fer ven cy 1
time o 1
nin th 7
man tles 1
philipp an 1
ram 7
villain 251
kill st 6
blu est 1
li pped 1
trem bled 5
ill utter ing 1
throat 52
tart 4
trumpet 91
sn akes 6
formal 11
willt 21
pearls 14
allay 13
preced ence 2
gaoler 34
male fa ctor 1
pack 23
infect ious 6
pestilence 14
horrible 25
spurn 28
un hair 1
ha les 3
wi re 1
ste wed 6
smart ing 2
lingring 9
pick le 3
prov ince 4
draws 48
innoc ents 4
scape 41
thunder bolt 5
bite 40
meaner 14
message 33
sub mer ged 1
c ister n 4
sca led 3
n arc iss us 5
punish 21
une qual 5
thourt 29
merchand ise 7
dis praised 3
inclination 13
go let 1
gor gon 2
marching 25
host ages 4
considered 11
discontented 13
sic ily 6
senators 70
factors 2
reven gers 1
philippi 17
brutus 493
ghost ed 1
cassius 231
all honoured 1
armed 56
drench 6
capitol 50
rig 1
navy 9
anger ed 4
fo ams 3
scourge 16
ingratitude 21
oer count 2
build s 6
pres en th ow 1
offers 24
embraced 9
lar ger 5
s ardin ia 1
measures 12
wheat 8
greed 5
un hacked 1
ed ges 3
tar ges 2
und inted 1
impatience 18
blows 80
liberal 30
time lier 1
gain ed 4
cast s 5
agreed 19
lot 7
cook ery 2
fat 72
mean ings 4
apo ll od orus 1
mat tress 1
far st 2
en vied 5
plainness 11
aboard 35
treat y 6
thieves 49
caius 130
marcellus 49
marcus 139
unity 8
prophesy 21
parties 14
str angl er 1
dish 38
var iance 1
throats 26
ill rooted 1
high coloured 1
alms drink 1
recon cil es 2
entreaty 12
ra ises 2
discretion 33
fellowship 18
lief 22
re ed 3
part is an 2
heave 13
holes 8
pit ifully 4
sennet 17
sounded 30
scales 12
pyra mid 3
lo wness 3
e b bs 6
seeds man 1
oo ze 6
scatter s 3
grain 18
shortly 49
you ve 5
oper ation 6
cro co di le 5
certainly 28
p to le mies 2
pyra mis es 1
contra diction 5
whispers 20
sha ped 4
moves 29
org ans 7
nour is heth 2
trans m ig rates 1
its 57
ep ic ure 1
you wheres 1
stool 12
rises 25
served 41
jolly 11
quick sands 1
pal es 4
inc lips 1
world shar ers 1
compet itors 5
cable 4
betrayd 10
des ist 4
pall ed 1
ashore 13
pledge 22
wheels 9
re els 4
alexand rian 2
rip ens 3
vessel s 7
for be art 1
fouler 9
possess 34
emperor 91
ba c chan als 2
celebr ate 6
steep ed 4
le the 6
battery 12
vo ll ey 4
plays 41
vine 9
plum py 1
ba c ch us 2
p ink 3
eyne 13
v ats 1
drowned 32
round 88
gra ver 7
le vity gentle 1
burnt 25
enobar b 1
weaker 14
split s 3
ant ick ed 1
cabin 11
neptune 12
hanged 63
hoo 6
romans 62
pa cor us 2
dart ing 1
cr ass us 3
reven ger 1
or od es 1
f ug itive 3
parth ians 1
medi a 2
mes o po tam ia 1
shel ters 1
rout ed 1
char io ts 3
acqu ire 3
so s s ius 1
lieutenant 73
ac cu mul ation 1
achieved 9
dark ens 1
gr ants 3
signify 25
mag ical 1
banners 9
well paid 1
neer yet beaten 1
j aded 3
purpose th 2
him on 1
dispatched 11
seal ing 3
troubled 38
green sickness 3
ad ores 2
non pare il 5
arab ian 4
p lied 1
scri bes 4
b ards 1
number hoo 1
sh ards 2
beet le 5
batter 3
for tress 3
cher ished 6
dis trust 6
on be 1
cheerful 18
tongue the 1
sw ans down 1
incl ines 1
cried 75
roaring 26
wept 34
rheum 15
wa iled 2
out go 2
wrestle 9
a feared 2
her ods 2
it come 2
dread 54
low voice d 1
dwar fish 5
lookd st 2
st ation 7
statue 20
bre ather 3
perceive t 1
fault iness 1
brown 24
employ 22
har ried 1
defend 73
excus able 1
thousands 18
sem bla ble 5
import but 1
wag ed 3
scant ly 1
vent ed 2
hint 8
division 23
praying 8
prays 20
mid way 5
branch less 1
request ed 3
bet we ens 2
raise 49
soon est 6
recon cil er 1
cleave 11
sold er 1
ri ft 3
equally 12
meeting 60
rival ity 1
rest ing 4
accus es 2
seiz es 5
enlarge 8
cha ps 6
walking 17
garden 75
spurn s 7
threats 17
murdered 24
na v ys 1
ri gged 1
contem ning 2
trib un al 2
chair s 6
publicly 10
caesar ion 2
stab lish ment 1
cyprus 46
show place 1
exercise 20
proclaimed 18
ar men ia 2
alexander 31
assign ed 2
ci li ci a 1
phoen ic ia 1
ha bi li ments 4
in formed 6
que asy 3
insolence 14
accus ations 6
spo iled 5
rated 16
isle 40
ship ping 6
un restored 1
lastly 9
frets 10
trium vir ate 1
deposed 21
revenue 18
cast away 3
usher 8
neigh s 5
faint ed 3
asc ended 2
popul ous 6
market maid 1
ostentation 8
un shown 1
un loved 1
supp lying 1
augment ed 3
constrained 6
begged 14
tween 20
whore 47
levy ing 2
assembled 10
bo c ch us 1
li by a 3
ar che laus 1
cap pa do ci a 1
phi la del phos 1
pa ph la gon ia 1
thra cian 5
ad all as 1
man ch us 1
arab ia 5
p ont 1
m ith rid ates 1
co mag ene 1
